gid_0,gid_1,name_0,name_1,indicator_name,weight,score,score_ranked,cat,label,un_region,wb_region
VCT,VCT.3_1,Saint Vincent and the Grenadines,Saint Andrew,bws,Liv,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
VCT,VCT.4_1,Saint Vincent and the Grenadines,Saint David,bws,Dom,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
VCT,VCT.4_1,Saint Vincent and the Grenadines,Saint David,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
VCT,VCT.5_1,Saint Vincent and the Grenadines,Saint George,bws,Dom,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
VCT,VCT.5_1,Saint Vincent and the Grenadines,Saint George,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
VCT,VCT.6_1,Saint Vincent and the Grenadines,Saint Patrick,bws,Dom,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
VCT,VCT.6_1,Saint Vincent and the Grenadines,Saint Patrick,bws,Irr,-9999,-9999,-9999,NoData,Americas,Latin America & Caribbean
VUT,VUT.1_1,Vanuatu,Malampa,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
VUT,VUT.1_1,Vanuatu,Malampa,bws,Ind,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
VUT,VUT.1_1,Vanuatu,Malampa,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
VUT,VUT.2_1,Vanuatu,Penama,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
VUT,VUT.2_1,Vanuatu,Penama,bws,Ind,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
VUT,VUT.2_1,Vanuatu,Penama,bws,Irr,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
VUT,VUT.3_1,Vanuatu,Sanma,bws,Dom,-9999,-9999,-9999,NoData,Oceania,East Asia & Pacific
