gid_0,gid_1,name_0,name_1,year,scenario,indicator_name,weight,score,score_ranked,cat,label,un_region,wb_region
AFG,AFG.12_1,Afghanistan,Hirat,2050,bau,bws,Tot,4.974621107,238,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2050,pes,bws,Dom,4.971904168,234,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2050,pes,bws,Ind,4.975171126,247,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2050,pes,bws,Irr,4.990742771,232,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2050,pes,bws,Liv,4.947846344,232,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2050,pes,bws,Tot,4.989790505,216,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2080,opt,bws,Dom,4.968977585,228,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2080,opt,bws,Ind,4.975874202,243,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2080,opt,bws,Irr,4.979441253,232,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2080,opt,bws,Liv,4.932860606,231,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2080,opt,bws,Tot,4.978530083,218,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2080,bau,bws,Dom,4.980368065,286,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2080,bau,bws,Ind,4.982708185,309,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2080,bau,bws,Irr,4.993777835,269,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2080,bau,bws,Liv,4.962998007,277,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2080,bau,bws,Tot,4.99219686,273,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2080,pes,bws,Dom,4.981852616,241,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2080,pes,bws,Ind,4.982730249,259,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2080,pes,bws,Irr,4.992540291,242,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2080,pes,bws,Liv,4.956791032,233,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2080,pes,bws,Tot,4.991781327,230,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.12_1,Afghanistan,Hirat,2030,opt,bws,One,4.681136784,230,4,Extremely High (>80%),Asia,South Asia
